Akun;Kelompok;Jenis;Objek;Rincian Objek;Sub Rincian Objek;Uraian Akun
1;;;;;;ASET
1;1;;;;;ASET LANCAR
1;1;01;;;;Kas dan Setara Kas
1;1;01;01;;;Kas di Kas Daerah
1;1;01;01;01;;Kas di Kas Daerah
1;1;01;01;01;001;Kas di Kas Daerah
1;1;01;02;;;Kas di Bendahara Penerimaan
1;1;01;02;01;;Kas di Bendahara Penerimaan
1;1;01;02;01;001;Kas di Bendahara Penerimaan
1;1;01;03;;;Kas di Bendahara Pengeluaran
1;1;01;03;01;;Kas di Bendahara Pengeluaran
1;1;01;03;01;001;Kas di Bendahara Pengeluaran
1;1;01;04;;;Kas di BLUD
1;1;01;04;01;;Kas di BLUD
1;1;01;04;01;001;Kas di BLUD ...
1;1;01;04;01;002;Dst ...
1;1;01;05;;;Kas Dana BOS
1;1;01;05;01;;Kas Dana BOS
1;1;01;05;01;001;Kas Dana BOS ...
1;1;01;05;01;002;Dst ...
1;1;01;06;;;Kas Dana Kapitasi pada FKTP
1;1;01;06;01;;Kas Dana Kapitasi pada FKTP
1;1;01;06;01;001;Kas Dana Kapitasi pada FKTP ...
1;1;01;06;01;002;Dst ...
1;1;01;07;;;Kas Lainnya
1;1;01;07;01;;Kas Lainnya
1;1;01;07;01;001;Kas Lainnya
1;1;01;08;;;Setara Kas
1;1;01;08;01;;Setara Kas
1;1;01;08;01;001;Setara Kas
1;1;02;;;;Investasi Jangka Pendek
1;1;02;01;;;Investasi dalam Saham
1;1;02;01;01;;Investasi dalam Saham
1;1;02;01;01;001;Investasi dalam Saham ...
1;1;02;01;01;002;Dst ....
1;1;02;02;;;Investasi dalam Deposito
1;1;02;02;01;;Deposito Jangka Pendek
1;1;02;02;01;001;Deposito Jangka Pendek ...
1;1;02;02;01;002;Dst ...
1;1;02;03;;;Investasi dalam SUN
1;1;02;03;01;;Investasi dalam SUN
1;1;02;03;01;001;Investasi dalam SUN ...
1;1;02;03;01;002;Dst ...
1;1;02;04;;;Investasi dalam SBI
1;1;02;04;01;;Investasi dalam SBI
1;1;02;04;01;001;Investasi dalam SBI ...
1;1;02;04;01;002;Dst ...
1;1;02;05;;;Investasi dalam SPN
1;1;02;05;01;;Investasi dalam SPN
1;1;02;05;01;001;Investasi dalam SPN ...
1;1;02;05;01;002;Dst ...
1;1;02;06;;;Investasi Jangka Pendek BLUD
1;1;02;06;01;;Investasi Jangka Pendek BLUD
1;1;02;06;01;001;Investasi Jangka Pendek BLUD
1;1;03;;;;Piutang Pajak Daerah
1;1;03;01;;;Piutang Pajak Kendaraan Bermotor (PKB)
1;1;03;01;01;;Piutang PKB-Mobil Penumpang-Sedan
1;1;03;01;01;001;Piutang PKB-Mobil Penumpang-Sedan-Pribadi
1;1;03;01;01;002;Piutang PKB-Mobil Penumpang-Sedan-Umum
1;1;03;01;01;003;Piutang PKB-Mobil Penumpang-Sedan-Pemerintah Pusat
1;1;03;01;01;004;Piutang PKB-Mobil Penumpang-Sedan-Pemerintah Daerah
1;1;03;01;02;;Piutang PKB-Mobil Penumpang-Jeep
1;1;03;01;02;001;Piutang PKB-Mobil Penumpang-Jeep-Pribadi
1;1;03;01;02;002;Piutang PKB-Mobil Penumpang-Jeep-Umum
1;1;03;01;02;003;"Piutang PKB-Mobil Penumpang-Jeep-Pemerintah
Pusat"
1;1;03;01;02;004;"Piutang PKB-Mobil Penumpang-Jeep-Pemerintah
Daerah"
1;1;03;01;03;;Piutang PKB-Mobil Penumpang-Minibus
1;1;03;01;03;001;Piutang PKB-Mobil Penumpang-Minibus-Pribadi
1;1;03;01;03;002;Piutang PKB-Mobil Penumpang-Minibus-Umum
1;1;03;01;03;003;Piutang PKB-Mobil Penumpang-Minibus-Pemerintah Pusat
1;1;03;01;04;003;"Piutang
Pusat"
1;1;03;01;04;004;"Piutang
Daerah"
1;1;03;01;06;001;"Piutang
Pribadi"
1;1;03;01;06;002;"Piutang
Umum"
1;1;03;01;07;001;"Piutang
Pribadi"
1;1;03;01;07;002;"Piutang
Umum"
1;1;03;01;07;004;"Piutang PKB-Mobil Barang/Beban-Light
Pemerintah Daerah"
1;1;03;01;08;;Piutang PKB-Mobil Barang/Beban-Truck
1;1;03;01;08;001;Piutang PKB-Mobil Barang/Beban-Truck-Pribadi
1;1;03;01;08;002;Piutang PKB-Mobil Barang/Beban-Truck-Umum
1;1;03;01;08;003;Piutang PKB-Mobil Barang/Beban-Truck-Pemerintah Pusat
1;1;03;01;08;004;Piutang PKB-Mobil Barang/Beban-Truck-Pemerintah Daerah
1;1;03;01;09;;Piutang PKB-Mobil Barang/Beban-Blind Van
1;1;03;01;09;001;"Piutang
Pribadi"
1;1;03;01;09;002;"Piutang
Umum"
1;1;03;01;10;;"Piutang
Dua"
1;1;03;01;10;002;Piutang
1;1;03;01;10;003;Piutang
1;1;03;01;10;004;Piutang
1;1;03;01;11;;Piutang
1;1;03;01;11;001;Piutang
1;1;03;01;11;002;Piutang
1;1;03;01;11;003;"Piutang PKB-Sepeda Motor-Sepeda Motor Roda
Tiga-Pemerintah Pusat"
1;1;03;01;11;004;"Piutang PKB-Sepeda Motor-Sepeda Motor Roda
Tiga-Pemerintah Daerah"
1;1;03;01;12;;"Piutang PKB-Kendaraan Bermotor yang
Dioperasikan di Air"
1;1;03;01;12;001;"Piutang PKB-Kendaraan Bermotor yang
Dioperasikan di Air-Pribadi"
1;1;03;01;12;002;"Piutang PKB-Kendaraan Bermotor yang
Dioperasikan di Air-Umum"
1;1;03;01;12;003;"Piutang PKB-Kendaraan Bermotor yang
Dioperasikan di Air-Pemerintah Pusat"
1;1;03;01;12;004;Piutang
1;1;03;01;13;;Piutang
1;1;03;01;13;001;Piutang
1;1;03;01;13;002;"Piutang PKB--Kendaraan Khusus Alat Berat/Alat
Besar-Umum"
1;1;03;01;13;003;Piutang
1;1;03;01;13;004;Piutang
1;1;03;01;14;;Piutang PKB-Mobil Roda Tiga
1;1;03;01;14;001;Piutang PKB-Mobil Roda Tiga-Pribadi
1;1;03;01;14;002;Piutang PKB-Mobil Roda Tiga-Umum
1;1;03;01;14;003;Piutang PKB-Mobil Roda Tiga-Pemerintah Pusat
1;1;03;01;14;004;Piutang PKB-Mobil Roda Tiga-Pemerintah Daerah
1;1;03;02;;;Piutang Bea Balik Nama Kendaraan Bermotor
1;1;03;02;01;;Piutang BBNKB-Mobil Penumpang-Sedan
1;1;03;02;01;001;Piutang BBNKB-Mobil Penumpang-Sedan
1;1;03;02;02;;Piutang BBNKB-Mobil Penumpang-Jeep
1;1;03;02;02;001;Piutang BBNKB-Jeep
1;1;03;02;03;;Piutang BBNKB-Minibus
1;1;03;02;03;001;Piutang BBNKB-Minibus
1;1;03;02;04;;Piutang BBNKB-Mobil Bus-Microbus
1;1;03;02;04;001;Piutang BBNKB-Mobil Bus-Microbus
1;1;03;02;05;;Piutang BBNKB-Mobil Bus-Bus
1;1;03;02;05;001;Piutang BBNKB-Mobil Bus-Bus
1;1;03;02;06;;Piutang BBNKB-Mobil Barang/Beban-Pick Up
1;1;03;02;06;001;Piutang BBNKB-Mobil Barang/Beban-Pick Up
1;1;03;02;07;;Piutang BBNKB-Mobil Barang/Beban-Light Truck
1;1;03;02;07;001;Piutang BBNKB-Mobil Barang/Beban-Light Truck
1;1;03;02;08;;Piutang BBNKB-Mobil Barang/Beban-Truck
1;1;03;02;08;001;Piutang BBNKB-Mobil Barang/Beban-Truck
1;1;03;02;09;;Piutang BBNKB-Mobil Barang/Beban-Blind Van
1;1;03;02;09;001;Piutang BBNKB-Mobil Barang/Beban-Blind Van
1;1;03;02;10;;"Piutang
Roda Dua"
1;1;03;02;10;001;"Piutang
Roda Dua"
1;1;03;02;11;;"Piutang
Roda Tiga"
1;1;03;02;11;001;"Piutang
Roda Tiga"
1;1;03;02;14;;Piutang BBNKB-Mobil Roda Tiga
1;1;03;02;14;001;Piutang BBNKB-Mobil Roda Tiga
1;1;03;03;;;"Piutang Pajak Bahan Bakar Kendaraan Bermotor
(PBBKB)"
1;1;03;03;01;;Piutang PBBKB Bahan Bakar Bensin
1;1;03;03;01;001;Piutang PBBKB Bahan Bakar Bensin
1;1;03;03;02;;Piutang PBBKB Bahan Bakar Solar
1;1;03;03;02;001;Piutang PBBKB Bahan Bakar Solar
1;1;03;03;03;;Piutang PBBKB Bahan Bakar Gas
1;1;03;03;03;001;Piutang PBBKB Bahan Bakar Gas
1;1;03;03;04;;Piutang PBBKB Bahan Bakar Lainnya
1;1;03;03;04;001;Piutang PBBKB Bahan Bakar Lainnya
1;1;03;04;;;Piutang Pajak Air Permukaan
1;1;03;04;01;;Piutang Pajak Air Permukaan
1;1;03;04;01;001;Piutang Pajak Air Permukaan
1;1;03;05;;;Piutang Pajak Rokok
1;1;03;05;01;;Piutang Pajak Rokok
1;1;03;05;01;001;Piutang Pajak Rokok
1;1;03;06;;;Piutang Pajak Hotel
1;1;03;06;01;;Piutang Pajak Hotel
1;1;03;06;01;001;Piutang Pajak Hotel
1;1;03;06;02;;Piutang Pajak Motel
1;1;03;06;02;001;Piutang Pajak Motel
1;1;03;06;03;;Piutang Pajak Losmen
1;1;03;06;03;001;Piutang Pajak Losmen
1;1;03;06;04;;Piutang Pajak Gubuk Pariwisata
1;1;03;06;04;001;Piutang Pajak Gubuk Pariwisata
1;1;03;06;05;;Piutang Pajak Wisma Pariwisata
1;1;03;06;05;001;Piutang Pajak Wisma Pariwisata
1;1;03;06;06;;Piutang Pajak Pesanggrahan
1;1;03;06;06;001;Piutang Pajak Pesanggrahan
1;1;03;06;07;;"Piutang Pajak Rumah Penginapan dan
Sejenisnya"
1;1;03;06;07;001;"Piutang Pajak Rumah Penginapan dan
Sejenisnya"
1;1;03;06;08;;"Piutang Pajak Rumah Kos dengan Jumlah Kamar
Lebih dari 10 (Sepuluh)"
1;1;03;06;08;001;"Piutang Pajak Rumah Kos dengan Jumlah Kamar
Lebih dari 10 (Sepuluh)"
1;1;03;07;;;Piutang Pajak Restoran
1;1;03;07;01;;Piutang Pajak Restoran dan sejenisnya
1;1;03;07;01;001;Piutang Pajak Restoran dan Sejenisnya
1;1;03;07;02;;Piutang Pajak Rumah Makan dan Sejenisnya
1;1;03;07;02;001;Piutang Pajak Rumah Makan dan Sejenisnya
1;1;03;07;03;;Piutang Pajak Kafetaria dan Sejenisnya
1;1;03;07;03;001;Piutang Pajak Kafetaria dan Sejenisnya
1;1;03;07;04;;Piutang Pajak Kantin dan Sejenisnya
1;1;03;07;04;001;Piutang Pajak Kantin dan Sejenisnya
1;1;03;07;05;;Piutang Pajak Warung dan Sejenisnya
1;1;03;07;05;001;Piutang Pajak Warung dan Sejenisnya
1;1;03;07;06;;Piutang Pajak Bar dan Sejenisnya
1;1;03;07;06;001;Piutang Pajak Bar dan Sejenisnya
1;1;03;07;07;;"Piutang
Sejenisnya"
1;1;03;07;07;001;"Piutang Pajak Jasa Boga/Katering dan
Sejenisnya"
1;1;03;08;02;;"Piutang
Busana"
1;1;03;08;04;;Piutang Pajak Pameran
1;1;03;08;04;001;Piutang Pajak Pameran
1;1;03;08;05;;"Piutang Pajak Diskotik, Karaoke, Klub Malam,
dan Sejenisnya"
1;1;03;08;05;001;"Piutang Pajak Diskotik, Karaoke, Klub Malam
dan Sejenisnya"
1;1;03;08;06;;Piutang Pajak Sirkus/Akrobat/Sulap
1;1;03;08;06;001;Piutang Pajak Sirkus/Akrobat/Sulap
1;1;03;08;07;;Piutang Pajak Permainan Biliar dan Bowling
1;1;03;08;07;001;Piutang Pajak Permainan Biliar dan Bowling
1;1;03;08;08;;"Piutang Pajak Pacuan Kuda, Kendaraan
Bermotor, dan Permainan Ketangkasan"
1;1;03;08;08;001;"Piutang Pajak Pacuan Kuda, Kendaraan
Bermotor, dan Permainan Ketangkasan"
1;1;03;08;09;;"Piutang Pajak Panti Pijat, Refleksi, Mandi
Uap/Spa, dan Pusat Kebugaran (Fitness Center)"
1;1;03;08;09;001;"Piutang Pajak Panti Pijat, Refleksi, Mandi
Uap/Spa, dan Pusat Kebugaran (Fitness Center)"
1;1;03;08;10;;Piutang Pajak Pertandingan Olahraga-LO
1;1;03;08;10;001;Piutang Pajak Pertandingan Olahraga-LO
1;1;03;09;;;Piutang Pajak Reklame
1;1;03;09;01;;"Piutang Pajak Reklame Papan/Billboard/
Videotron/Megatron"
1;1;03;09;01;001;"Piutang Pajak Reklame Papan/Billboard/
Videotron/Megatron"
