Akun;Kelompok;Jenis;Objek;Rincian Objek;Sub Rincian Objek;Uraian Akun
4;;;;;;PENDAPATAN DAERAH
4;1;;;;;PENDAPATAN ASLI DAERAH (PAD)
4;1;01;;;;Pajak Daerah
4;1;01;01;;;Pajak Kendaraan Bermotor (PKB)
4;1;01;01;01;;PKB-Mobil Penumpang-Sedan
4;1;01;01;01;001;PKB-Mobil Penumpang-Sedan-Pribadi
4;1;01;01;01;002;PKB-Mobil Penumpang-Sedan-Umum
4;1;01;01;01;003;"PKB-Mobil Penumpang-Sedan-Pemerintah
Pusat"
4;1;01;01;01;004;"PKB-Mobil Penumpang-Sedan-Pemerintah
Daerah"
4;1;01;01;02;;PKB-Mobil Penumpang-Jeep
4;1;01;01;02;001;PKB-Mobil Penumpang-Jeep-Pribadi
4;1;01;01;02;002;PKB-Mobil Penumpang-Jeep-Umum
4;1;01;01;02;003;"PKB-Mobil Penumpang-Jeep-Pemerintah
Pusat"
4;1;01;01;02;004;"PKB-Mobil Penumpang-Jeep-Pemerintah
Daerah"
4;1;01;01;03;;PKB-Mobil Penumpang-Minibus
4;1;01;01;03;001;PKB-Mobil Penumpang-Minibus-Pribadi
4;1;01;01;03;002;PKB-Mobil Penumpang-Minibus-Umum
4;1;01;01;03;003;"PKB-Mobil Penumpang-Minibus-Pemerintah
Pusat"
4;1;01;01;03;004;"PKB-Mobil Penumpang-Minibus-Pemerintah
Daerah"
4;1;01;01;04;;PKB-Mobil Bus-Microbus
4;1;01;01;04;001;PKB-Mobil Bus-Microbus-Pribadi
4;1;01;01;04;002;PKB-Mobil Bus-Microbus-Umum
4;1;01;01;04;003;PKB-Mobil Bus-Microbus-Pemerintah Pusat
4;1;01;01;04;004;PKB-Mobil Bus-Microbus-Pemerintah Daerah
4;1;01;01;05;;PKB-Mobil Bus-Bus
4;1;01;01;05;001;PKB-Mobil Bus-Bus-Pribadi
4;1;01;01;05;002;PKB-Mobil Bus-Bus-Umum
4;1;01;01;05;003;PKB-Mobil Bus-Bus-Pemerintah Pusat
4;1;01;01;05;004;PKB-Mobil Bus-Bus-Pemerintah Daerah
4;1;01;01;06;;PKB-Mobil Barang/Beban-Pick Up
4;1;01;01;06;001;PKB-Mobil Barang/Beban-Pick Up-Pribadi
4;1;01;01;06;002;PKB-Mobil Barang/Beban-Pick Up-Umum
4;1;01;01;06;003;"PKB-Mobil Barang/Beban-Pick
Pemerintah Pusat"
4;1;01;01;06;004;"PKB-Mobil Barang/Beban-Pick
Pemerintah Daerah"
4;1;01;01;07;;PKB-Mobil Barang/Beban-Light Truck
4;1;01;01;07;001;PKB-Mobil Barang/Beban-Light Truck-Pribadi
4;1;01;01;07;002;PKB-Mobil Barang/Beban-Light Truck-Umum
4;1;01;01;07;003;"PKB-Mobil Barang/Beban-Light
Pemerintah Pusat"
4;1;01;01;07;004;"PKB-Mobil Barang/Beban-Light
Pemerintah Daerah"
4;1;01;01;08;;PKB-Mobil Barang/Beban-Truck
4;1;01;01;08;001;PKB-Mobil Barang/Beban-Truck-Pribadi
4;1;01;01;08;002;PKB-Mobil Barang/Beban-Truck-Umum
4;1;01;01;08;003;"PKB-Mobil Barang/Beban-Truck-Pemerintah
Pusat"
4;1;01;01;08;004;"PKB-Mobil Barang/Beban-Truck-Pemerintah
Daerah"
4;1;01;01;09;;PKB-Mobil Barang/Beban-Blind Van
4;1;01;01;09;001;PKB-Mobil Barang/Beban-Blind Van-Pribadi
4;1;01;01;09;002;PKB-Mobil Barang/Beban-Blind Van-Umum
4;1;01;01;09;003;"PKB-Mobil Barang/Beban-Blind
Pemerintah Pusat"
4;1;01;01;09;004;"PKB-Mobil Barang/Beban-Blind
Pemerintah Daerah"
4;1;01;01;10;;PKB-Sepeda Motor-Sepeda Motor Roda Dua
4;1;01;01;10;001;PKB-Sepeda Motor-Sepeda Motor Roda Dua-Pribadi
4;1;01;01;10;002;PKB-Sepeda Motor-Sepeda Motor Roda Dua-Umum
4;1;01;01;10;003;PKB-Sepeda Motor-Sepeda Motor Roda Dua-Pemerintah Pusat
4;1;01;01;10;004;PKB-Sepeda Motor-Sepeda Motor Roda Dua-Pemerintah Daerah
4;1;01;01;11;;PKB-Sepeda Motor-Sepeda Motor Roda Tiga
4;1;01;01;11;001;PKB-Sepeda Motor-Sepeda Motor Roda Tiga-Pribadi
4;1;01;01;11;002;PKB-Sepeda Motor-Sepeda Motor Roda Tiga-Umum
4;1;01;01;11;003;PKB-Sepeda Motor-Sepeda Motor Roda Tiga-Pemerintah Pusat
4;1;01;01;11;004;"PKB-Sepeda Motor-Sepeda Motor Roda
Pemerintah Daerah"
4;1;01;01;12;;"PKB-Kendaraan Bermotor yang Dioperasikan
di Air"
4;1;01;01;12;001;"PKB-Kendaraan Bermotor yang Dioperasikan
di Air-Pribadi"
4;1;01;01;12;002;"PKB-Kendaraan Bermotor yang Dioperasikan
di Air-Umum"
4;1;01;01;12;003;"PKB-Kendaraan Bermotor yang Dioperasikan
di Air-Pemerintah Pusat"
4;1;01;01;12;004;"PKB-Kendaraan Bermotor yang Dioperasikan
di Air-Pemerintah Daerah"
4;1;01;01;13;;"PKB-Kendaraan
Besar"
4;1;01;01;13;001;"PKB-Kendaraan
Besar-Pribadi"
4;1;01;01;13;002;"PKB-Kendaraan
Besar-Umum"
4;1;01;01;13;003;PKB-Kendaraan
4;1;01;01;13;004;PKB-Kendaraan
4;1;01;01;14;;PKB-Mobil Roda Tiga
4;1;01;01;14;001;PKB-Mobil Roda Tiga-Pribadi
4;1;01;01;14;002;PKB-Mobil Roda Tiga-Umum
4;1;01;01;14;003;PKB-Mobil Roda Tiga-Pemerintah Pusat
4;1;01;01;14;004;PKB-Mobil Roda Tiga-Pemerintah Daerah
4;1;01;02;;;"Bea Balik
(BBNKB)"
4;1;01;02;01;;BBNKB-Mobil Penumpang-Sedan
4;1;01;02;01;001;BBNKB-Mobil Penumpang-Sedan
4;1;01;02;02;;BBNKB-Mobil Penumpang-Jeep
4;1;01;02;02;001;BBNKB-Mobil Penumpang-Jeep
4;1;01;02;03;;BBNKB-Mobil Penumpang-Minibus
4;1;01;02;03;001;BBNKB-Mobil Penumpang-Minibus
4;1;01;02;04;;BBNKB-Mobil Bus-Microbus
4;1;01;02;04;001;BBNKB-Mobil Bus-Microbus
4;1;01;02;05;;BBNKB-Mobil Bus-Bus
4;1;01;02;05;001;BBNKB-Mobil Bus-Bus
4;1;01;02;06;;BBNKB-Mobil Barang/Beban-Pick Up
4;1;01;02;06;001;BBNKB-Mobil Barang/Beban-Pick Up
4;1;01;02;07;;BBNKB-Mobil Barang/Beban-Light Truck
4;1;01;02;07;001;BBNKB-Mobil Barang/Beban-Light Truck
4;1;01;02;08;;BBNKB-Mobil Barang/Beban-Truck
4;1;01;02;08;001;BBNKB-Mobil Barang/Beban-Truck
4;1;01;02;09;;BBNKB-Mobil Barang/Beban-Blind Van
4;1;01;02;09;001;BBNKB-Mobil Barang/Beban-Blind Van
4;1;01;02;10;;"BBNKB-Sepeda
Dua"
4;1;01;02;10;001;"BBNKB-Sepeda
Dua"
4;1;01;02;11;;"BBNKB-Sepeda
Tiga"
4;1;01;02;11;001;"BBNKB-Sepeda
Tiga"
4;1;01;02;12;;"BBNKB-Kendaraan
Dioperasikan di Air"
4;1;01;02;12;001;"BBNKB-Kendaraan
Dioperasikan di Air"
4;1;01;02;13;;BBNKB-Kendaraan Khusus Alat Berat
4;1;01;02;13;001;BBNKB-Kendaraan Khusus Alat Berat
4;1;01;02;14;;BBNKB-Mobil Roda Tiga
4;1;01;02;14;001;BBNKB-Mobil Roda Tiga
4;1;01;03;;;"Pajak Bahan Bakar Kendaraan Bermotor
(PBBKB)"
4;1;01;03;01;;PBBKB-Bahan Bakar Bensin
4;1;01;03;01;001;PBBKB Bahan Bakar Bensin
4;1;01;03;02;;PBBKB-Bahan Bakar Solar
4;1;01;03;02;001;PBBKB Bahan Bakar Solar
4;1;01;03;03;;PBBKB-Bahan Bakar Gas
4;1;01;03;03;001;PBBKB Bahan Bakar Gas
4;1;01;03;04;;PBBKB-Bahan Bakar Lainnya
4;1;01;03;04;001;PBBKB Bahan Bakar Lainnya
4;1;01;06;08;;Pajak
4;1;01;06;08;001;Pajak
4;1;01;07;01;;Pajak Restoran dan Sejenisnya
4;1;01;07;01;001;Pajak Restoran dan Sejenisnya
4;1;01;07;02;;Pajak Rumah Makan dan Sejenisnya
4;1;01;07;02;001;Pajak Rumah Makan dan Sejenisnya
4;1;01;07;03;;Pajak Kafetaria dan Sejenisnya
4;1;01;07;03;001;Pajak Kafetaria dan Sejenisnya
4;1;01;07;04;;Pajak Kantin dan Sejenisnya
4;1;01;07;04;001;Pajak Kantin dan Sejenisnya
4;1;01;07;05;;Pajak Warung dan Sejenisnya
4;1;01;07;05;001;Pajak Warung dan Sejenisnya
4;1;01;07;06;;Pajak Bar dan Sejenisnya
4;1;01;07;07;;Pajak
4;1;01;07;07;001;Pajak
4;1;01;08;02;;"Pajak
Busana"
4;1;01;08;02;001;"Pajak
Busana"
4;1;01;08;04;;Pajak Pameran
4;1;01;08;04;001;Pajak Pameran
4;1;01;08;05;;"Pajak Diskotik, Karaoke, Klub Malam, dan
Sejenisnya"
4;1;01;08;05;001;"Pajak Diskotik, Karaoke, Klub Malam, dan
Sejenisnya"
4;1;01;08;06;;Pajak Sirkus/Akrobat/Sulap
4;1;01;08;06;001;Pajak Sirkus/Akrobat/Sulap
4;1;01;08;07;;Pajak Permainan Biliar dan Bowling
4;1;01;08;07;001;Pajak Permainan Biliar dan Bowling
4;1;01;08;08;;"Pajak Pacuan Kuda, Kendaraan Bermotor,
dan Permainan Ketangkasan"
4;1;01;08;08;001;"Pajak Pacuan Kuda, Kendaraan Bermotor,
dan Permainan Ketangkasan"
4;1;01;08;09;;"Pajak Panti Pijat, Refleksi, Mandi Uap/Spa
dan Pusat Kebugaran (Fitness Center)"
4;1;01;08;09;001;"Pajak Panti Pijat, Refleksi, Mandi Uap/Spa
dan Pusat Kebugaran (Fitness Center)"
4;1;01;08;10;;Pajak Pertandingan Olahraga
4;1;01;08;10;001;Pajak Pertandingan Olahraga
4;1;01;09;;;Pajak Reklame
4;1;01;09;01;;"Pajak Reklame Papan/Billboard/Videotron/
Megatron"
4;1;01;09;01;001;"Pajak Reklame Papan/Billboard/Videotron/
Megatron"
4;1;01;09;02;;Pajak Reklame Kain
4;1;01;09;02;001;Pajak Reklame Kain
4;1;01;09;03;;Pajak Reklame Melekat/Stiker
4;1;01;09;03;001;Pajak Reklame Melekat/Stiker
4;1;01;09;04;;Pajak Reklame Selebaran
4;1;01;09;04;001;Pajak Reklame Selebaran
4;1;01;09;05;;Pajak Reklame Berjalan
4;1;01;09;05;001;Pajak Reklame Berjalan
4;1;01;09;06;;Pajak Reklame Udara
4;1;01;09;06;001;Pajak Reklame Udara
4;1;01;09;07;;Pajak Reklame Apung
4;1;01;09;07;001;Pajak Reklame Apung
4;1;01;09;08;;Pajak Reklame Suara
4;1;01;09;08;001;Pajak Reklame Suara
4;1;01;09;09;;Pajak Reklame Film/Slide
4;1;01;09;09;001;Pajak Reklame Film/Slide
4;1;01;09;10;;Pajak Reklame Peragaan
4;1;01;09;10;001;Pajak Reklame Peragaan
4;1;01;10;;;Pajak Penerangan Jalan
4;1;01;10;01;;Pajak Penerangan Jalan Dihasilkan Sendiri
4;1;01;10;01;001;Pajak Penerangan Jalan Dihasilkan Sendiri
4;1;01;10;02;;Pajak Penerangan Jalan Sumber Lain
4;1;01;10;02;001;Pajak Penerangan Jalan Sumber Lain
4;1;01;11;;;Pajak Parkir
4;1;01;11;01;;Pajak Parkir
4;1;01;11;01;001;Pajak Parkir
4;1;01;12;;;Pajak Air Tanah
4;1;01;12;01;;Pajak Air Tanah
4;1;01;12;01;001;Pajak Air Tanah
4;1;01;13;;;Pajak Sarang Burung Walet
